LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,ExterCond,BedroomAbvGr,GarageCars,PoolArea,SalePrice,Artery
8450,7,5,19,19,4,3,3,2,0,208500,0
9600,6,8,46,46,3,3,3,2,0,181500,0
11250,7,5,21,20,4,3,3,2,0,223500,0
9550,7,5,107,52,3,3,3,3,0,140000,0
14260,8,5,22,22,4,3,4,3,0,250000,0
14115,5,5,29,27,3,3,1,2,0,143000,0
10084,8,5,18,17,4,3,3,2,0,307000,0
10382,7,6,49,49,3,3,3,2,0,200000,0
6120,7,5,91,72,3,3,2,2,0,129900,1
7420,5,6,83,72,3,3,2,1,0,118000,1
11200,5,5,57,57,3,3,3,1,0,129500,0
11924,9,5,17,16,5,3,4,3,0,345000,0
12968,5,6,60,60,3,3,2,1,0,144000,0
10652,7,5,16,15,4,3,3,3,0,279500,0
10920,6,5,62,62,3,3,2,1,0,157000,0
6120,7,8,93,21,3,3,2,2,0,132000,0
11241,6,7,52,52,3,3,2,2,0,149000,0
10791,4,5,55,55,3,3,2,2,0,90000,0
13695,5,5,18,18,3,3,3,2,0,159000,0
7560,5,6,64,57,3,3,3,1,0,139000,0
14215,8,5,17,16,4,3,4,3,0,325300,0
7449,7,7,92,72,3,3,3,1,0,139400,0
9742,8,5,20,20,4,3,3,2,0,230000,0
4224,5,7,46,46,3,3,3,2,0,129900,0
8246,5,8,54,21,3,4,3,1,0,154000,0
14230,8,5,15,15,4,3,3,3,0,256300,0
7200,5,7,71,22,3,3,3,2,0,134800,0
11478,8,5,15,14,4,3,3,3,0,306000,0
16321,5,6,65,25,3,3,2,1,0,207500,0
6324,4,6,95,72,3,3,1,1,0,68500,0
8500,4,4,102,72,3,2,3,1,0,40000,0
8544,5,6,56,16,3,3,3,1,0,149350,0
11049,8,5,15,15,4,3,3,2,0,179900,0
10552,5,5,63,63,3,3,4,2,0,165500,0
7313,9,5,17,17,5,3,2,2,0,277500,0
13418,8,5,18,17,4,3,4,3,0,309000,0
10859,5,5,28,27,3,3,3,2,0,145000,0
8532,5,6,68,32,3,3,3,2,0,153000,0
7922,5,7,69,15,3,4,3,1,0,109000,0
6040,4,5,67,67,3,3,2,0,0,82000,0
8658,6,5,57,57,3,3,3,2,0,160000,0
16905,5,6,63,63,3,4,2,1,0,170000,0
9180,5,7,39,39,3,3,2,2,0,144000,0
9200,5,6,47,42,3,3,3,1,0,130250,0
7945,5,6,63,63,3,3,3,1,0,141000,0
7658,9,5,17,17,5,3,2,2,0,319900,0
12822,7,5,19,19,4,3,1,2,0,239686,0
11096,8,5,16,16,4,3,3,3,0,249700,0
4456,4,5,102,14,3,3,2,0,0,113000,0
7742,5,7,56,56,3,3,3,1,0,127000,0
13869,6,6,25,25,3,3,3,2,0,177000,0
6240,6,6,88,72,3,3,3,2,0,114500,0
8472,5,5,59,59,2,3,2,2,0,110000,0
50271,9,5,41,35,4,3,0,3,0,385000,0
7134,5,5,67,67,3,3,3,2,0,130000,0
10175,6,5,58,58,3,3,3,2,0,180500,0
2645,8,5,23,22,4,3,3,2,0,172500,0
11645,7,5,18,18,4,3,3,2,0,196500,0
13682,10,5,16,16,5,3,3,3,0,438780,0
7200,5,7,50,50,3,3,2,1,0,124900,0
13072,6,5,18,18,3,3,3,2,0,158000,0
7200,5,7,102,26,3,3,3,1,0,101000,0
6442,8,5,16,16,4,3,2,2,0,202500,0
10300,7,6,101,72,3,3,3,2,0,140000,0
9375,7,5,25,24,3,3,3,2,0,219500,0
9591,8,5,18,17,4,3,4,3,0,317000,0
19900,7,5,52,33,3,3,3,2,0,180000,0
10665,7,5,19,19,4,3,3,2,0,226000,0
4608,4,6,77,72,3,4,2,1,0,80000,1
15593,7,4,69,69,4,3,3,2,0,225000,0
13651,7,6,49,49,3,4,3,2,0,244000,0
7599,4,6,40,16,3,3,2,2,0,129500,0
10141,7,5,24,24,3,3,3,2,0,185000,0
10200,5,7,68,19,3,3,3,2,0,144900,0
5790,3,6,107,72,4,4,3,1,0,107400,0
1596,4,5,49,49,3,3,2,1,0,91000,0
8475,4,7,66,66,3,3,2,1,0,135750,0
8635,5,5,74,21,3,3,2,1,0,127000,0
10778,4,5,54,54,3,3,4,0,0,136500,0
10440,5,6,112,41,3,3,2,2,0,110000,0
13000,6,6,54,54,3,4,4,1,0,193500,0
4500,6,5,24,24,3,4,2,2,0,153500,0
10206,8,5,15,15,3,3,3,3,0,245000,0
8892,5,5,62,62,3,3,3,2,0,126500,0
8530,7,5,27,26,3,3,3,2,0,168500,0
16059,8,5,31,30,4,3,4,2,0,260000,0
11911,6,5,17,17,4,3,3,2,0,174000,0
3951,6,5,13,13,4,3,2,2,0,164500,0
8470,3,2,107,40,2,2,2,0,0,85000,0
8070,4,5,28,27,3,3,3,0,0,123600,0
7200,4,5,72,72,3,3,2,2,0,109900,0
8500,5,3,61,61,3,3,2,2,0,98600,0
13360,5,7,101,16,3,4,2,2,0,163500,0
7200,6,6,112,24,3,3,4,2,0,133900,0
9337,6,5,25,25,3,4,3,2,0,204750,0
9765,6,8,29,29,5,4,3,2,0,185000,0
10264,7,5,23,23,4,3,3,2,0,214000,0
10921,4,5,57,57,3,3,3,1,0,94750,0
10625,5,5,102,72,3,3,2,1,0,83000,0
9320,4,5,63,63,3,3,3,0,0,128950,0
10603,6,7,45,21,3,3,3,2,0,205000,0
9206,6,5,37,37,4,3,3,2,0,178000,0
7018,5,5,43,43,3,2,4,2,0,118964,0
10402,7,5,13,13,3,3,3,3,0,198900,0
7758,7,4,91,72,3,2,4,1,0,169500,0
9375,8,5,19,18,4,3,3,2,0,250000,0
10800,4,7,137,27,3,3,2,1,0,100000,0
6000,5,5,74,72,3,3,2,1,0,115000,0
8500,5,7,103,17,3,3,3,0,0,115000,1
11751,6,6,45,45,3,3,3,2,0,190000,0
9525,6,4,68,50,3,3,4,1,0,136900,0
7750,7,5,22,22,3,3,3,2,0,180000,0
9965,7,5,15,15,4,3,4,3,0,383970,0
21000,6,5,69,69,3,4,3,2,0,217000,0
7259,6,8,77,20,3,3,3,1,0,259500,0
3230,6,5,23,23,3,3,2,2,0,176000,0
11616,5,5,60,60,3,3,3,1,0,139000,0
8536,5,5,16,15,3,3,2,2,0,155000,0
12376,7,5,32,32,3,3,5,3,0,320000,0
8461,6,5,17,16,4,3,3,2,0,163990,0
21453,6,5,53,53,3,3,1,2,0,180000,0
6060,4,5,83,72,3,3,3,1,0,100000,0
9464,6,7,64,64,3,4,3,1,0,136000,0
7892,6,5,29,29,4,3,2,2,0,153900,0
17043,6,5,43,24,3,4,3,2,0,181000,0
6780,6,8,87,40,3,2,2,0,0,84500,0
4928,6,5,46,46,3,3,2,2,0,128000,0
4388,5,7,92,72,3,4,3,0,0,87000,0
7590,6,5,56,56,3,3,3,2,0,155000,0
8973,5,7,64,31,3,3,3,2,0,150000,0
14200,7,6,56,56,3,3,4,2,0,226000,0
12224,6,5,22,22,4,3,3,2,0,244000,0
7388,5,6,63,20,3,3,3,2,0,150750,0
6853,8,5,21,20,4,3,2,2,0,220000,0
10335,5,6,54,29,3,3,3,2,0,180000,0
10400,7,6,52,52,3,3,3,2,0,174000,0
10355,5,5,55,55,3,3,3,1,0,143000,0
11070,7,5,34,33,3,3,5,3,0,171000,0
9066,8,5,23,22,4,3,3,3,0,230000,0
15426,6,5,25,25,3,3,3,2,0,231500,0
10500,4,5,51,51,3,3,3,0,0,115000,0
11645,7,5,17,17,4,3,3,2,0,260000,0
8520,5,4,70,70,3,2,4,2,0,166000,1
10335,7,5,23,23,4,3,3,2,0,204000,0
9100,5,5,59,59,3,3,6,2,0,125000,0
2522,6,5,18,16,4,3,3,2,0,130000,0
6120,5,7,91,29,3,3,2,1,0,105000,0
9505,7,5,21,21,4,3,3,2,0,222500,0
7500,7,5,18,17,3,3,3,0,0,141000,0
6240,5,4,86,72,3,3,3,1,0,115000,0
10356,5,6,47,47,3,3,3,2,0,122000,0
13891,8,5,15,14,4,3,2,3,0,372402,0
14803,6,5,51,51,3,3,4,2,0,190000,0
13500,6,7,62,47,3,3,1,2,0,235000,0
11340,6,5,99,72,3,3,4,1,0,125000,0
9600,6,5,98,72,3,3,2,0,0,79000,1
7200,5,7,72,72,3,3,2,2,0,109500,0
12003,8,5,13,12,4,3,4,3,0,269500,0
12552,7,5,18,17,4,3,3,2,0,254900,0
19378,7,5,17,16,4,3,4,2,0,320000,0
11120,6,6,38,38,3,3,3,2,0,162500,0
13688,9,5,19,18,4,3,3,3,0,412500,0
12182,7,5,17,17,4,3,3,2,0,220000,0
5500,4,6,66,66,3,3,1,0,0,103200,0
5400,6,7,96,18,3,4,3,1,0,152000,0
10106,5,7,82,23,3,4,4,0,0,127500,0
10708,5,5,67,29,4,3,2,1,0,190000,0
10562,8,5,15,15,4,3,3,3,0,325624,0
8244,7,5,18,18,4,3,3,2,0,183500,0
16669,8,6,41,41,4,3,2,2,0,228000,0
12358,5,6,81,72,3,3,2,2,0,128500,0
31770,6,5,62,62,3,3,3,2,0,215000,0
5306,7,7,35,35,4,4,2,2,0,239000,0
10197,6,5,61,61,3,3,3,2,0,163000,0
12416,6,5,36,36,3,3,3,2,0,184000,0
12615,6,7,72,21,3,3,4,2,0,243000,0
10029,6,5,34,33,4,3,4,2,0,211000,0
13650,5,5,64,64,4,4,4,2,0,172500,0
17423,9,5,14,13,5,3,1,3,0,501837,0
8520,5,6,99,16,4,3,2,2,0,100000,0
2117,6,5,22,22,4,3,3,2,0,177000,0
7588,7,6,102,72,3,3,4,1,0,200100,0
9060,5,6,65,16,3,3,3,1,0,120000,1
11426,7,5,19,19,3,3,3,2,0,200000,0
7438,5,8,114,31,3,3,3,2,0,127000,0
22950,10,9,130,29,4,4,4,3,0,475000,1
9947,7,5,32,31,3,3,3,2,0,173000,0
10410,5,7,106,35,3,3,3,1,0,135000,0
7018,5,5,43,43,3,3,2,2,0,153337,0
4923,8,5,21,20,4,3,0,2,0,286000,0
10570,8,8,90,28,4,3,3,2,0,315000,0
7472,7,9,50,18,3,3,4,2,0,184000,0
9017,7,5,23,23,4,3,3,2,0,192000,0
2522,7,5,18,18,4,3,3,2,0,130000,0
7180,5,7,50,50,3,3,3,1,0,127000,0
2280,6,6,46,46,3,3,3,2,0,148500,0
9416,7,5,15,15,5,3,3,3,0,311872,0
25419,8,4,104,32,4,4,4,2,512,235000,1
5520,6,6,110,72,3,3,5,0,0,104000,0
9591,8,5,18,17,4,3,3,3,0,274900,0
8546,4,5,19,18,3,3,2,2,0,140000,0
10125,6,6,45,45,3,3,3,2,0,171500,0
7000,6,6,98,72,3,4,2,1,0,112000,1
4438,6,5,18,18,4,3,1,2,0,149000,0
3500,5,7,75,72,3,3,2,1,0,110000,0
11851,7,5,32,32,3,3,3,2,0,180500,0
13673,5,5,60,60,3,4,3,1,0,143900,0
12493,4,5,62,62,3,3,3,1,0,141000,0
14364,7,5,34,33,4,3,3,2,0,277000,0
8250,6,7,58,58,3,3,3,2,0,145000,0
5604,5,6,97,72,3,3,2,0,0,98000,0
10420,6,5,13,13,3,3,3,2,0,186000,0
8640,7,5,13,13,3,3,3,2,0,252678,0
13568,5,5,27,27,3,3,3,2,0,156000,0
10900,6,7,45,45,3,3,3,1,0,161750,0
10011,5,6,65,26,3,3,2,1,0,134450,0
8450,7,5,18,18,4,3,3,2,0,210000,0
9906,4,4,97,72,3,3,3,1,0,107000,0
15660,7,9,83,16,4,4,3,2,0,311500,0
3010,7,5,17,16,4,3,2,2,0,167240,0
8990,7,5,16,16,4,3,2,2,0,204900,0
8068,6,5,20,20,4,3,4,2,0,200000,0
11475,6,6,47,47,3,3,3,2,0,179900,0
10500,4,6,51,51,3,3,2,2,0,97000,0
13472,10,5,19,19,5,3,3,3,0,386250,0
1680,5,5,51,51,3,3,3,1,0,112000,0
9950,7,5,27,27,4,3,4,3,0,290000,0
1869,6,6,52,52,3,3,2,1,0,106000,0
8521,5,5,55,55,3,3,3,1,0,125000,0
3182,7,5,17,16,4,3,2,2,0,192500,0
8760,6,6,63,63,3,3,3,1,0,148000,0
15138,8,5,27,26,4,3,4,3,0,403000,0
1680,6,5,50,50,3,3,2,1,0,94500,0
10650,5,6,46,46,3,3,3,1,0,128200,0
7851,6,5,20,20,4,3,4,2,0,216500,0
1680,6,3,51,51,3,3,2,1,0,89500,0
8773,7,5,18,18,4,3,3,2,0,185500,0
9453,7,7,29,19,4,3,3,2,0,194500,0
12030,8,5,15,15,5,3,3,3,0,318000,0
8741,6,4,77,72,3,3,3,1,0,113000,0
9000,8,5,14,14,4,3,3,2,0,262500,0
3880,5,9,77,25,3,4,2,0,0,110500,0
5000,5,4,122,72,3,3,3,1,0,79000,0
10762,6,6,42,42,3,3,3,1,0,120000,0
8880,7,5,28,20,4,3,3,2,0,205000,0
10400,7,5,34,34,3,3,3,2,0,241500,0
9142,6,8,112,72,3,2,4,1,0,137000,0
11310,6,5,68,68,3,3,2,2,0,140000,0
11317,7,5,19,19,4,3,3,2,0,180000,0
159000,6,7,64,16,4,3,4,2,0,277000,0
5350,3,2,82,56,3,1,3,0,0,76500,0
4750,8,5,16,15,4,3,2,2,0,235000,0
8366,6,5,18,18,4,3,3,2,0,173000,0
9350,6,7,58,31,3,3,3,1,0,158000,0
8400,5,6,65,65,3,4,3,1,0,145000,0
8738,7,5,23,23,4,3,4,2,0,230000,0
8791,6,5,19,19,4,3,3,2,0,207500,0
8814,7,5,16,16,4,3,3,2,0,220000,0
12435,7,5,21,21,4,3,3,2,0,231500,0
12702,5,5,66,66,3,3,2,1,0,97000,0
19296,6,5,60,60,3,3,3,2,0,176000,1
9588,8,5,15,15,4,3,3,3,0,276000,0
8471,6,7,45,27,3,3,3,2,0,151000,0
5500,5,7,93,21,3,3,3,2,0,130000,0
5232,5,5,97,18,3,3,2,2,0,73000,1
12090,6,6,41,41,3,4,3,2,0,175500,0
11207,6,5,25,25,3,3,3,2,0,185000,0
8400,5,8,83,25,3,3,4,1,0,179500,0
6900,5,6,82,67,3,3,2,1,0,120500,0
7917,6,7,46,46,3,4,3,1,0,148000,0
10728,8,5,16,16,4,3,3,3,0,266000,0
39104,7,7,68,17,3,3,2,2,0,241500,0
11764,8,7,23,15,4,3,4,3,0,290000,0
9600,6,6,64,34,3,3,3,1,0,139000,0
8314,5,7,40,40,3,3,2,1,0,124500,0
7264,7,7,97,15,4,4,3,2,0,205000,0
9196,7,5,19,19,4,3,3,2,0,201000,0
19138,4,5,71,71,3,3,2,2,0,141000,0
14450,9,5,16,15,5,3,3,3,0,415298,0
10005,7,5,45,45,3,3,4,2,0,192000,0
11287,7,6,33,33,4,3,3,2,0,228500,0
7200,6,5,16,16,4,3,2,2,0,185000,0
5063,7,5,15,14,4,3,2,2,0,207500,0
9612,8,5,14,13,4,3,3,3,0,244600,0
8012,6,5,30,30,4,3,2,2,0,179200,0
4251,7,5,16,15,4,3,2,2,0,164700,0
9786,6,7,60,41,3,3,3,2,0,159000,0
8125,4,4,51,51,3,3,3,0,0,88000,0
9819,5,5,55,55,3,4,3,1,0,122000,0
8730,6,7,107,19,3,3,3,1,0,153575,0
15611,8,5,16,16,4,3,3,2,0,233230,0
5687,5,6,110,22,3,2,6,0,0,135900,0
11409,5,4,73,14,3,3,3,1,0,131000,0
16659,7,7,45,28,3,3,3,2,0,235000,0
9600,6,5,69,69,3,3,3,2,0,167000,0
7937,6,6,38,38,3,3,3,2,0,142500,0
13710,5,5,72,72,3,3,4,1,0,152000,0
7399,7,5,25,24,4,3,3,2,0,239000,0
11700,6,6,54,54,4,3,3,2,0,175000,0
14000,6,8,72,18,3,4,3,1,0,158500,0
15750,5,5,69,69,3,3,2,1,0,157000,0
16226,8,5,24,23,4,3,4,2,0,267000,0
13704,7,5,21,20,4,3,3,3,0,205000,0
9800,5,7,50,50,3,3,3,2,0,149900,0
18386,7,9,142,20,3,3,3,3,0,295000,0
10386,8,5,18,17,4,3,3,3,0,305900,0
13474,7,5,32,31,4,3,4,3,0,225000,0
7920,6,7,102,72,3,2,3,0,0,89500,1
12342,4,5,82,72,3,3,1,2,0,82500,0
12378,9,5,19,18,4,3,3,3,0,360000,0
7685,6,5,29,28,3,3,3,2,0,165600,0
8000,6,6,74,20,3,4,2,1,0,132000,0
7800,5,7,83,72,3,3,3,2,0,119900,1
215245,7,5,57,57,3,3,3,2,0,375000,0
9600,7,7,97,32,3,3,3,2,0,178000,0
7795,7,5,18,17,4,3,3,2,0,188500,0
13005,7,7,42,42,4,3,4,2,0,260000,0
9000,8,5,16,16,4,3,3,3,0,270000,0
9900,7,5,29,29,4,3,4,3,0,260000,0
14115,7,5,42,42,3,3,3,2,0,187500,0
16259,9,5,16,16,3,3,4,3,0,342643,0
12099,8,5,18,18,4,3,4,3,0,354000,0
10380,7,5,36,35,4,3,4,2,0,301000,0
5820,3,8,67,17,3,4,3,1,0,126175,0
11275,7,7,55,15,4,4,5,2,0,242000,0
5000,5,6,81,72,3,3,2,2,0,87000,0
10846,8,5,29,29,4,3,1,2,0,324000,0
11600,6,5,62,62,3,3,3,1,0,145250,0
11888,6,6,106,28,3,3,5,2,0,214500,0
6402,5,5,102,72,3,3,3,1,0,78000,0
10624,5,4,58,58,3,3,6,1,0,119000,0
8176,5,6,64,30,3,3,3,1,0,139000,0
10655,8,5,19,18,4,3,3,3,0,284000,0
8198,7,5,18,18,4,3,2,2,0,207000,0
9042,6,5,24,24,3,3,3,2,0,192000,0
164660,5,6,57,57,3,3,3,2,0,228950,0
14157,9,5,17,16,4,3,3,3,0,377426,0
9135,7,5,20,19,4,3,3,2,0,214000,0
14145,7,7,38,24,4,3,3,2,0,202500,0
12400,6,7,64,24,3,3,3,1,0,155000,0
14191,8,5,20,20,4,3,4,2,0,202900,0
8400,4,4,72,72,2,2,2,1,0,82000,0
8544,3,4,73,72,3,3,2,2,0,87500,0
8849,9,5,17,17,5,3,2,2,0,266000,0
2592,5,3,46,46,3,3,3,1,0,85000,0
6435,6,5,83,72,3,3,3,1,0,140200,0
12772,6,8,62,24,3,4,2,1,0,151500,0
17600,6,5,62,62,3,3,3,2,0,157500,0
2448,7,5,19,18,4,3,2,2,0,154000,0
20431,9,5,17,16,5,3,4,3,0,437154,0
7820,9,5,15,15,5,3,2,2,0,318061,0
5271,7,5,36,36,3,3,2,2,0,190000,0
9084,5,6,81,72,3,3,3,1,0,95000,1
8520,6,8,94,19,3,4,2,2,0,105900,0
8400,6,5,82,22,3,3,2,1,0,140000,0
11249,6,5,27,27,4,4,3,2,0,177500,0
9248,6,6,30,30,3,3,3,2,0,173000,0
4224,5,5,46,46,3,3,3,2,0,134000,0
6930,5,4,64,64,3,3,3,1,0,130000,0
12011,8,5,24,24,4,3,3,2,0,280000,0
7540,6,6,44,44,3,3,2,2,0,156000,0
9144,5,5,82,40,3,3,3,1,0,145000,0
7301,7,5,19,19,4,3,4,2,0,198500,0
1680,6,8,50,15,3,3,2,1,0,118000,0
18800,6,5,46,46,3,3,3,2,0,190000,0
10690,5,7,102,25,3,4,3,1,0,147000,0
9500,6,5,59,59,3,3,3,2,0,159000,0
9150,6,5,60,60,3,3,3,1,0,165000,0
7800,5,6,68,68,3,3,2,1,0,132000,0
9830,5,7,63,16,3,4,3,2,0,162000,0
8121,6,5,22,22,3,3,3,2,0,172400,0
17120,4,4,63,63,3,3,4,2,0,134432,0
7175,6,5,38,38,3,3,2,1,0,125000,0
10634,5,6,69,69,3,3,3,1,0,123000,0
8200,7,5,19,18,4,3,4,2,0,219500,0
10020,1,1,100,72,2,2,1,0,0,61000,0
8846,5,5,26,26,4,3,2,2,0,148000,0
11143,8,5,18,17,4,3,4,2,0,340000,0
11394,9,2,12,12,4,3,1,3,0,394432,0
8123,6,5,22,22,3,3,3,2,0,179000,0
5000,5,6,98,72,3,3,3,1,0,127000,0
7200,7,5,16,16,4,3,2,2,0,187750,0
9245,7,5,16,16,4,3,3,2,0,213500,0
9000,6,3,94,72,3,3,2,2,0,76000,0
53107,6,5,30,30,4,3,3,2,0,240000,0
3182,8,5,18,17,4,3,2,2,0,192000,0
8410,5,3,112,26,3,2,5,0,0,81000,0
7200,6,6,46,46,3,3,3,1,0,125000,0
9382,7,5,23,22,4,3,3,2,0,191000,0
12474,10,5,15,14,5,3,3,3,0,426000,0
8405,5,8,122,72,3,3,4,1,0,119000,0
12209,6,5,21,20,3,3,3,2,0,215000,0
8339,5,7,63,63,3,3,3,1,0,106500,0
7446,4,5,81,72,3,3,2,0,0,100000,0
10134,5,6,82,72,3,3,2,1,0,109000,0
9571,5,6,66,66,3,3,3,1,0,129000,0
7200,5,5,50,50,3,3,2,2,0,123000,0
7590,5,5,60,60,3,3,4,1,0,169500,0
8967,5,2,102,72,3,2,2,1,0,67000,0
8125,7,5,16,15,4,3,2,2,0,241000,0
14963,8,5,26,26,4,3,1,2,0,245500,0
8767,7,5,17,17,4,3,3,2,0,164990,0
10200,5,8,82,25,3,3,2,1,0,108000,0
12090,8,5,24,24,4,3,4,2,0,258000,0
10364,6,5,27,26,3,3,3,2,0,168000,0
9991,4,4,46,29,3,3,3,2,0,150000,0
10480,6,5,86,72,3,3,3,1,0,115000,0
15576,6,7,107,46,3,3,4,1,0,177000,0
14154,7,5,16,16,4,3,3,3,0,280000,0
10800,8,5,15,14,4,3,3,3,0,339750,0
9571,5,3,64,64,3,2,3,1,0,60000,0
34650,5,5,67,67,3,3,3,2,0,145000,0
4403,7,5,13,13,5,3,2,2,0,222000,0
8960,5,6,95,72,3,3,2,2,0,115000,1
11228,7,5,29,29,4,3,3,3,0,228000,0
8899,7,5,15,15,4,3,3,2,0,181134,0
7844,6,7,44,44,3,3,3,2,0,149500,0
22420,6,6,104,72,3,3,4,3,0,239000,0
8160,5,6,82,72,3,3,3,1,0,126000,0
8450,5,6,54,54,3,3,3,1,0,142000,0
7060,7,5,25,24,3,4,2,4,0,206300,0
16635,6,7,45,22,4,3,3,2,0,215000,0
21750,5,5,68,68,3,3,2,2,0,113000,1
9200,8,5,24,24,4,3,4,3,0,315000,0
9000,6,5,66,66,3,3,2,1,0,139000,0
3378,7,8,76,30,3,4,3,1,0,135000,0
12800,7,5,33,33,4,3,2,2,0,275000,0
8593,4,6,65,65,3,3,3,1,0,109008,0
6762,7,5,15,15,4,3,2,2,0,195400,0
11457,6,5,34,34,3,3,3,2,0,175000,0
1680,6,5,51,51,3,3,2,1,0,85400,0
5586,6,7,102,24,3,3,4,0,0,79900,0
1920,5,5,51,51,3,3,2,2,0,122500,0
10839,6,5,25,24,3,3,3,2,0,181000,0
1890,4,7,50,50,3,4,1,0,0,81000,0
10667,7,6,26,26,4,3,3,2,0,212000,0
4400,6,8,102,72,3,3,2,2,0,116000,0
6000,6,7,96,18,4,3,2,1,0,119000,0
4280,5,6,109,20,3,3,2,1,0,90350,0
12354,6,8,102,22,3,3,3,2,0,110000,0
15431,10,5,14,14,5,3,2,3,0,555000,0
12108,4,4,67,67,3,3,4,0,0,118000,0
6240,5,7,92,30,3,3,3,2,0,162900,0
3922,7,5,16,15,4,3,2,3,0,172500,0
8750,7,5,28,27,4,4,4,2,0,210000,0
9855,6,5,66,66,3,3,3,2,0,127500,0
16492,6,6,56,20,4,3,2,2,0,190000,0
11214,7,5,24,23,4,3,4,2,0,199900,0
8600,6,6,85,72,3,3,3,1,0,119500,0
6000,3,7,74,20,3,4,2,1,0,120000,0
5684,6,8,92,17,3,3,2,1,0,110000,0
70761,7,5,47,47,3,3,2,2,0,280000,0
9303,6,5,26,25,4,3,3,2,0,204000,0
9000,8,5,14,14,4,3,3,2,0,210000,0
9297,5,5,46,46,3,3,4,2,0,188000,0
9600,7,6,49,49,3,3,3,2,0,175500,0
4571,5,5,106,72,3,3,4,3,0,98000,0
53227,4,6,68,28,3,3,2,2,0,256000,0
5100,8,7,97,26,3,4,3,1,0,161000,0
7015,5,4,72,72,3,3,3,1,0,110000,0
8004,8,5,13,13,4,3,3,2,0,263435,0
7200,7,9,86,15,4,4,3,2,0,155000,0
8281,5,5,57,57,3,3,3,1,0,62383,0
11988,6,7,88,27,3,3,3,1,0,188700,0
8430,5,5,44,44,3,3,3,0,0,124000,0
3072,7,5,18,18,4,3,2,2,0,178740,0
10628,7,5,52,52,3,4,2,2,0,167000,0
9480,5,7,80,27,3,3,3,1,0,146500,1
11428,8,5,16,16,4,3,3,3,0,250000,0
9291,6,5,29,29,4,3,3,2,0,187000,0
6820,8,5,37,37,4,3,1,2,0,212000,0
11952,7,6,45,45,3,3,3,2,0,190000,0
3675,6,5,17,17,3,3,2,2,0,148000,0
14977,8,5,16,15,4,3,2,3,0,440000,0
5330,8,5,22,22,4,3,2,2,0,251000,0
8480,5,6,59,59,3,3,2,2,0,132500,0
13125,6,5,25,24,3,3,3,2,0,208900,0
13693,9,5,16,16,5,3,3,3,0,380000,0
10637,8,5,15,14,4,3,3,3,0,297000,0
5925,4,7,85,22,3,3,2,2,0,89471,0
16033,9,5,18,17,4,3,3,3,0,326000,0
11846,9,5,19,18,4,3,2,3,0,374000,0
2500,7,8,107,17,4,3,4,1,0,155000,0
4500,6,5,24,24,3,3,2,2,0,164000,0
